#mass low95 low68 expected up68 up95 observed
600 0.0181141 0.0205576 0.0242289 0.0286099 0.0348184 0.0183814
1000 0.0255465 0.02943 0.0344034 0.0408833 0.0479717 0.0250641
1600 0.0404702 0.0467475 0.0553631 0.0654927 0.0772252 0.0757485
2000 0.0553716 0.0636663 0.074718 0.0901451 0.103433 0.123405
2600 0.0916635 0.10222 0.119697 0.147542 0.166455 0.191663
3000 0.126138 0.144743 0.168484 0.199216 0.243042 0.252026
3600 0.227831 0.246063 0.274977 0.320495 0.365435 0.391189
4000 0.318263 0.343341 0.391363 0.445604 0.524359 0.510882
4600 0.535495 0.56759 0.608485 0.695099 0.806921 0.797201
5000 0.732684 0.75502 0.816261 0.938976 1.07373 1.13418
5600 1.06395 1.12098 1.20543 1.38821 1.58107 1.73438
6000 1.30906 1.38812 1.4881 1.66242 1.87558 2.12022
6600 1.67619 1.75739 1.92262 2.12052 2.43938 2.68884
